Province,HIV,Poverty,Drug_Users,Localizations,Illiterate,Doctors_Availability
Aceh,1.222792859,16.98,1.91,0,0.43,15.52946931
Sumatra Utara,11.82546543,9.85,3.2,1,0.66,10.30733135
Sumatra Barat,6.254993277,6.89,1.72,0,0.43,8.262047195
Riau,8.887596148,7.99,1.97,9,0.48,7.788766078
Jambi,5.083124028,8.39,1.71,2,0.57,9.030020332
Sumatra Selatan,3.173204055,13.62,1.74,1,0.52,5.553107096
Bengkulu,4.98699046,17.09,1.62,1,0.54,10.40763226
Lampung,3.18955421,14.21,1.24,3,0.42,6.316812439
Kepulauan Bangka Belitung,8.408363718,4.97,1.68,10,0.91,9.822159387
Kepulauan Riau,50.74580161,6.4,2.77,10,0.38,16.53280484
DKI Jakarta,58.07271248,4.09,5.01,0,0.08,7.612676546
Jawa Barat,8.125206389,9.18,2.41,13,0.41,4.084328345
Jawa Tengah,8.552413738,13.58,1.94,3,0.65,5.545496037
DI Yogyakarta,16.88158148,14.55,2.24,0,0.09,10.03546782
Jawa Timur,11.6756712,12.28,1.99,53,1.43,4.317511953
Banten,5.80953276,5.51,1.74,5,0.48,3.058548129
Bali,51.86484445,4.76,2,3,1.06,7.795561402
Nusa Tenggara Barat,3.121203234,17.05,1.58,0,3.54,4.252377561
Nusa Tenggara Timur,4.943516846,19.6,1.43,0,3.48,6.253846612
Kalimantan Barat,14.82156867,8.07,1.86,0,2.06,6.870083332
Kalimantan Tengah,4.63133735,6.07,1.86,12,0.32,11.59883602
Kalimantan Selatan,5.786682982,4.81,1.89,0,0.28,8.998674416
Kalimantan Timur,16.08283106,6.31,3.24,32,0.19,10.95064749
Kalimantan Utara,13.58783565,1.36,1.63,5,1.36,20.38175348
Sulawesi Utara,16.42503981,8.26,2.43,5,0.18,19.23238079
Sulawesi Tengah,4.626849857,13.61,1.89,0,1.38,8.511990958
Sulawesi Selatan,9.949953749,9.54,2.25,0,2.58,7.412063281
Sulawesi Tenggara,6.535680732,12.77,1.5,0,1.62,9.966913116
Gorontalo,2.151308713,17.41,1.61,0,1.1,9.770527071
Sulawesi Barat,2.384548128,12.05,1.87,0,3.93,6.517764884
Maluku,24.97888259,18.44,2.35,0,0.81,9.110655243
Maluku Utara,5.532624923,7.41,1.78,0,0.57,13.17291648
Papua Barat,70.6048482,26.26,1.52,0,2.27,9.296305013
Papua,106.0498221,27.8,1.21,2,28.5,11.35554837
